Tavola 12.1 -;;;;;;;;
;;;;;;;;
;;;;;;;;
AREE GEOGRAFICHE  E;Maschi;Femmine;Totale;;AREE GEOGRAFICHE  E;Maschi;Femmine;Totale
PAESI DI CITTADINANZA;;;;;PAESI DI CITTADINANZA;;;
;;;;;;;;
 Seychelles; 167 ; 435 ; 602 ;; Bolivia; 4.656 ; 8.619 ; 13.275 
 Somalia; 5.259 ; 3.117 ; 8.376 ;; Brasile; 12.966 ; 35.264 ; 48.230 
 Tanzania; 464 ; 530 ; 994 ;; Cile; 1.572 ; 2.306 ; 3.878 
 Uganda; 285 ; 284 ; 569 ;; Colombia; 7.840 ; 14.113 ; 21.953 
 Zambia; 129 ; 131 ; 260 ;; Costa Rica; 171 ; 350 ; 521 
 Zimbabwe; 68 ; 93 ; 161 ;; Cuba; 5.393 ; 16.725 ; 22.118 
Centro-meridionale; 11.854 ; 11.073 ; 22.927 ;; Dominica; 300 ; 670 ; 970 
 Angola; 896 ; 806 ; 1.702 ;; Dominicana,Rep.; 9.648 ; 18.248 ; 27.896 
 Botswana; 15 ; 7 ; 22 ;; Ecuador; 36.769 ; 52.857 ; 89.626 
 Camerun; 6.128 ; 5.577 ; 11.705 ;; El Salvador; 3.586 ; 6.705 ; 10.291 
 Centrafricana, Rep.; 79 ; 51 ; 130 ;; Giamaica; 64 ; 98 ; 162 
 Ciad; 171 ; 62 ; 233 ;; Grenada; 3 ; 7 ; 10 
 Congo; 1.969 ; 1.885 ; 3.854 ;; Guatemala; 244 ; 572 ; 816 
 Congo,Rep.Democratica; 2.142 ; 2.069 ; 4.211 ;; Guyana; 2 ; 8 ; 10 
 Gabon; 86 ; 97 ; 183 ;; Haiti; 174 ; 183 ; 357 
 Guinea equatoriale; 48 ; 42 ; 90 ;; Honduras; 345 ; 1.023 ; 1.368 
 Lesotho; 12 ; 7 ; 19 ;; Messico; 1.946 ; 3.688 ; 5.634 
 Namibia; 9 ; 22 ; 31 ;; Nicaragua; 204 ; 439 ; 643 
 Sao Tome'e Principe; 9 ; 14 ; 23 ;; Panama; 120 ; 297 ; 417 
 Sud Africa; 274 ; 427 ; 701 ;; Paraguay; 481 ; 1.291 ; 1.772 
 Swaziland; 16 ; 7 ; 23 ;; Peru'; 42.552 ; 65.295 ; 107.847 
;;;;; Saint Kitts e Nevis; - ; - ; - 
;;;;; Saint Lucia; 5 ; 6 ; 11 
;;;;; S.Vincent e Grenadine; . ; 2 ; 2 
;;;;; Suriname; 9 ; 5 ; 14 
;;;;; Trinidad e Tobago; 23 ; 53 ; 76 
;;;;; Uruguay; 600 ; 991 ; 1.591 
;;;;; Venezuela; 1.950 ; 4.322 ; 6.272 
;;;;;;;;
;;;;;OCEANIA; 1.012 ; 1.569 ; 2.581 
;;;;; Australia; 719 ; 1.221 ; 1.940 
;;;;; Figi; 12 ; 17 ; 29 
;;;;; Kiribati; 2 ; 5 ; 7 
;;;;; Marshall,Isole; 17 ; 9 ; 26 
;;;;; Micronesia,Stati federati; 1 ; 4 ; 5 
;;;;; Nauru; - ; - ; - 
;;;;; Nuova Zelanda; 212 ; 258 ; 470 
;;;;; Palau; 5 ; . ; 5 
;;;;; Papua Nuova Guinea; 8 ; 10 ; 18 
;;;;; Salomone,Isole; 3 ; 2 ; 5 
;;;;; Samoa; 22 ; 24 ; 46 
;;;;; Tonga; 7 ; 15 ; 22 
;;;;; Tuvalu; 2 ; 4 ; 6 
;;;;; Vanuatu; 2 ; . ; 2 
;;;;;;;;
;;;;;Apolidi; 269 ; 201 ; 470 
;;;;;;;;
;;;;;TOTALE         ; 1.837.082 ; 1.800.642 ; 3.637.724 
;;;;;;;;
'Fonte: elaborazioni Istat su dati del Ministero dell'Interno;;;;;;;;
(a) L'informazione sulla cittadinanza riportata sul documento di soggiorno al momento dell'elaborazione non consente un'esatta distinzione tra i cittadini dei tre Stati;;;;;;;;
